ticker_symbol,day_date,close_value,volume,open_value,high_value,low_value
AAPL,2020-05-29,317.94,38399530,319.25,321.15,316.47
AAPL,2020-05-28,318.25,33449100,316.77,323.44,315.63
AAPL,2020-05-27,318.11,28236270,316.14,318.71,313.09
AAPL,2020-05-26,316.73,31380450,323.5,324.24,316.5
AAPL,2020-05-22,318.89,20450750,315.77,319.23,315.35
AAPL,2020-05-21,316.85,25672210,318.66,320.89,315.87
AAPL,2020-05-20,319.23,27876220,316.68,319.52,316.2
AAPL,2020-05-19,313.14,25432390,315.03,318.52,313.01
AAPL,2020-05-18,314.96,33843130,313.17,316.5,310.3241
AAPL,2020-05-15,307.71,41587090,300.35,307.9,300.21
AAPL,2020-05-14,309.54,39732270,304.51,309.79,301.53
AAPL,2020-05-13,307.65,50155640,312.15,315.95,303.21
AAPL,2020-05-12,311.41,40575260,317.83,319.688,310.91
AAPL,2020-05-11,315.01,36486560,308.1,317.05,307.24
AAPL,2020-05-08,310.13,33511990,305.64,310.35,304.29
AAPL,2020-05-07,303.74,28803760,303.22,305.17,301.97
AAPL,2020-05-06,300.63,35583440,300.46,303.24,298.87
AAPL,2020-05-05,297.56,36937800,295.06,301.0,294.46
AAPL,2020-05-04,293.16,33391990,289.17,293.69,286.3172
AAPL,2020-05-01,289.07,60154180,286.25,299.0,285.85
AAPL,2020-04-30,293.8,45765970,289.96,294.53,288.35
AAPL,2020-04-29,287.73,34320200,284.73,289.67,283.89
AAPL,2020-04-28,278.58,28001190,285.08,285.83,278.2
AAPL,2020-04-27,283.17,29271890,281.8,284.54,279.95
AAPL,2020-04-24,282.97,31627180,277.2,283.01,277.0
AAPL,2020-04-23,275.03,31203580,275.87,281.75,274.87
AAPL,2020-04-22,276.1,29264340,273.61,277.9,272.2
AAPL,2020-04-21,268.37,45247890,276.28,277.25,265.43
AAPL,2020-04-20,276.93,32503750,277.95,281.68,276.85
AAPL,2020-04-17,282.8,53812480,284.69,286.945,276.86
AAPL,2020-04-16,286.69,39281290,287.38,288.1975,282.3502
